# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.66744870E-040  1.66744860E-040  9.72234610E-048
  9.226000E-02  2.46120888E-040  2.46120870E-040  1.81885361E-047
  9.332000E-02  3.59606817E-040  3.59606783E-040  3.38409062E-047
  9.441000E-02  5.24323977E-040  5.24323914E-040  6.36028729E-047
  9.550000E-02  7.57130919E-040  7.57130801E-040  1.18485530E-046
  9.661000E-02  1.08895881E-039  1.08895859E-039  2.20991716E-046
  9.772000E-02  1.55186001E-039  1.55185960E-039  4.07758327E-046
  9.886000E-02  2.21056937E-039  2.21056861E-039  7.56053859E-046
  1.000000E-01  3.12068922E-039  3.12068783E-039  1.38502597E-045
  1.012000E-01  4.42422772E-039  4.42422517E-039  2.55177179E-045
  1.023000E-01  6.04299651E-039  6.04299208E-039  4.43159321E-045
  1.035000E-01  8.35360025E-039  8.35359227E-039  7.97946821E-045
  1.047000E-01  1.14293626E-038  1.14293485E-038  1.41642418E-044
  1.059000E-01  1.56450811E-038  1.56450563E-038  2.47960994E-044
  1.072000E-01  2.18447511E-038  2.18447063E-038  4.47961832E-044
  1.084000E-01  2.95516646E-038  2.95515883E-038  7.62850697E-044
  1.097000E-01  4.07563109E-038  4.07561771E-038  1.33878888E-043
  1.109000E-01  5.44008191E-038  5.44005970E-038  2.22156682E-043
  1.122000E-01  7.40418995E-038  7.40415200E-038  3.79540956E-043
  1.135000E-01  9.99687513E-038  9.99681115E-038  6.39787287E-043
  1.148000E-01  1.33890579E-037  1.33889514E-037  1.06460483E-042
  1.161000E-01  1.78412154E-037  1.78410404E-037  1.74976017E-042
  1.175000E-01  2.41020014E-037  2.41017065E-037  2.94815825E-042
  1.189000E-01  3.23329125E-037  3.23324224E-037  4.90161960E-042
  1.202000E-01  4.21984343E-037  4.21976574E-037  7.76927434E-042
  1.216000E-01  5.57947883E-037  5.57935274E-037  1.26082661E-041
  1.230000E-01  7.33210442E-037  7.33190219E-037  2.02222327E-041
  1.244000E-01  9.56541247E-037  9.56509178E-037  3.20691408E-041
  1.259000E-01  1.26293388E-036  1.26288194E-036  5.19330537E-041
  1.274000E-01  1.65540788E-036  1.65532477E-036  8.31096825E-041
  1.288000E-01  2.11697065E-036  2.11684306E-036  1.27589419E-040
  1.303000E-01  2.73612198E-036  2.73592473E-036  1.97246969E-040
  1.318000E-01  3.51335232E-036  3.51304489E-036  3.07434862E-040
