# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = equil
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.120110E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.243430E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.368430E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.495110E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.623510E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.753640E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.885530E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.001920E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.015470E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.029200E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.043120E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.057220E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.071520E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.086010E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.100690E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.115580E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.130660E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.145950E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.161450E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.177150E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.193070E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.209210E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.225560E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.242130E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.258930E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.275950E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.293200E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.310690E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.328410E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.346380E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.364580E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.383040E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.401740E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.420690E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.439900E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.459370E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.479110E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.499110E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.519380E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.539930E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.560750E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.581860E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.603250E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.624930E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.646900E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.669170E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.691740E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.714620E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.737800E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.761300E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.785120E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.809260E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000
