# DL07 model SED (this work), mw31_60, Mathis ISRF U =  3.16
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.226000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.332000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.441000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.550000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.661000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.772000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  9.886000E-02  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.000000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.012000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.023000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.035000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.047000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.059000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.072000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.084000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.097000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.109000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.122000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.135000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.148000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.161000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.175000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.189000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.202000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.216000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.230000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.244000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.259000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.274000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.288000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.303000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.318000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.333000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.349000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.365000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.380000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.396000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.412000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.429000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.445000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.462000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.479000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.496000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.514000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.531000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.549000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.567000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.585000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.603000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.622000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.641000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.660000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.679000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.698000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.718000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.738000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.758000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.778000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.799000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.820000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.841000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
  1.862000E-01  0.00000000E+000  0.00000000E+000  0.00000000E+000
