# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  5.39080049E-063
  9.226000E-02  6.90029742E-062
  9.332000E-02  2.59672163E-061
  9.441000E-02  7.96537597E-061
  9.550000E-02  2.20629546E-060
  9.661000E-02  5.85908723E-060
  9.772000E-02  1.49594867E-059
  9.886000E-02  3.79761145E-059
  1.000000E-01  9.39033671E-059
  1.012000E-01  2.37418331E-058
  1.023000E-01  5.43995617E-058
  1.035000E-01  1.31524308E-057
  1.047000E-01  3.11095590E-057
  1.059000E-01  7.20543998E-057
  1.072000E-01  1.74922285E-056
  1.084000E-01  3.88656362E-056
  1.097000E-01  9.03261146E-056
  1.109000E-01  1.93044877E-055
  1.122000E-01  4.30977209E-055
  1.135000E-01  9.44003725E-055
  1.148000E-01  2.03030141E-054
  1.161000E-01  4.28126743E-054
  1.175000E-01  9.35523574E-054
  1.189000E-01  2.00264360E-053
  1.202000E-01  3.98979223E-053
  1.216000E-01  8.22778795E-053
  1.230000E-01  1.66628823E-052
  1.244000E-01  3.31820264E-052
  1.259000E-01  6.81825182E-052
  1.274000E-01  1.37462258E-051
  1.288000E-01  2.60130134E-051
  1.303000E-01  5.06506537E-051
  1.318000E-01  9.70783543E-051
  1.333000E-01  1.82934444E-050
  1.349000E-01  3.52828427E-050
  1.365000E-01  6.67995718E-050
  1.380000E-01  1.19374010E-049
  1.396000E-01  2.16584322E-049
  1.412000E-01  3.86241701E-049
  1.429000E-01  7.00936949E-049
  1.445000E-01  1.20652753E-048
  1.462000E-01  2.10807743E-048
  1.479000E-01  3.61688862E-048
  1.496000E-01  6.10992542E-048
  1.514000E-01  1.04613824E-047
  1.531000E-01  1.70925769E-047
  1.549000E-01  2.82256809E-047
  1.567000E-01  4.60856945E-047
  1.585000E-01  7.42472210E-047
  1.603000E-01  1.17999359E-046
  1.622000E-01  1.89781225E-046
  1.641000E-01  3.00811907E-046
  1.660000E-01  4.73966479E-046
  1.679000E-01  7.47457642E-046
  1.698000E-01  1.16810382E-045
  1.718000E-01  1.85222186E-045
  1.738000E-01  2.91434118E-045
  1.758000E-01  4.55762876E-045
  1.778000E-01  7.03008198E-045
  1.799000E-01  1.08152833E-044
  1.820000E-01  1.64717496E-044
  1.841000E-01  2.48645515E-044
  1.862000E-01  3.72349322E-044
  1.884000E-01  5.64532956E-044
  1.905000E-01  8.35263911E-044
  1.928000E-01  1.31044821E-043
  1.950000E-01  2.01204490E-043
  1.972000E-01  3.07585362E-043
  1.995000E-01  4.77375487E-043
  2.018000E-01  7.37910191E-043
  2.042000E-01  1.15741185E-042
  2.065000E-01  1.77447651E-042
  2.089000E-01  2.70044520E-042
  2.113000E-01  4.06664204E-042
  2.138000E-01  6.16959033E-042
  2.163000E-01  9.27082183E-042
  2.188000E-01  1.38031800E-041
  2.213000E-01  2.03690749E-041
  2.239000E-01  3.02561037E-041
  2.265000E-01  4.45399091E-041
  2.291000E-01  6.50157805E-041
  2.317000E-01  9.41277618E-041
  2.344000E-01  1.37017366E-040
  2.371000E-01  1.97742980E-040
  2.399000E-01  2.86578619E-040
  2.427000E-01  4.11650708E-040
  2.455000E-01  5.86470891E-040
  2.483000E-01  8.28727185E-040
  2.512000E-01  1.17641477E-039
  2.541000E-01  1.65616692E-039
  2.570000E-01  2.31278221E-039
  2.600000E-01  3.24059929E-039
  2.630000E-01  4.50378850E-039
  2.661000E-01  6.27729968E-039
  2.691000E-01  8.58864291E-039
  2.723000E-01  1.19055358E-038
  2.754000E-01  1.62106090E-038
  2.786000E-01  2.21232299E-038
  2.818000E-01  2.99729934E-038
  2.851000E-01  4.06785984E-038
  2.884000E-01  5.48063717E-038
  2.917000E-01  7.33229877E-038
  2.951000E-01  9.82389724E-038
  2.985000E-01  1.30731549E-037
  3.020000E-01  1.74168369E-037
  3.055000E-01  2.30448083E-037
  3.090000E-01  3.02875273E-037
  3.126000E-01  3.98447086E-037
  3.162000E-01  5.20723276E-037
  3.199000E-01  6.81223131E-037
